CaO,Al2O3,SiO2,molar_volume,density,youngs_modulus,shear_modulus,bulk_modulus,poisson_ratio,fracture_toughess
24.0,6.0,70.0,24.07506875,2.56,,,,,
15.0,15.0,70.0,26.273116260487424,2.503,,,,,
14.4,15.0,70.6,26.18854522292994,2.512,,,,,
18.82,10.35,70.83,25.16256548616601,2.53,,,,,
16.93,9.31,73.76,25.422244104417672,2.49,,,,,
12.8,13.2,74.0,26.483249471114718,2.458,,,,,
15.0,10.0,75.0,25.38,2.5085740740740743,,,,,
12.5,12.5,75.0,25.87412175648702,2.505,,,,,
12.0,12.0,76.0,26.0,2.49,,,,,
7.0,17.0,76.0,28.1,2.38,,,,,
11.75,11.75,76.5,26.49039183087028,2.436,,,,,
2.43,19.67,77.9,28.66408942016807,2.38,,,,,
13.99,7.69,78.32,25.60841153469388,2.45,,,,,
10.0,10.0,80.0,26.61155833333333,2.4,,,,,
9.91,10.05,80.04,27.42158040343348,2.33,,,,,
12.75,7.01,80.24,25.616990368852463,2.44,,,,,
5.55,12.15,82.29,27.991494698275872,2.32,,,,,
11.09,6.1,82.81,26.02125174058578,2.39,,,,,
9.9,5.45,84.65,26.036219579831943,2.38,,,,,
2.32,12.54,85.13,28.36212333913043,2.3,,,,,
6.22,6.27,87.51,27.393383456140352,2.28,,,,,
0.0,0.0,100.0,27.271901951883788,2.2030000000000003,,,,,
0.0,0.0,100.0,27.2595281306715,2.204,,,,,
51.0,34.0,15.0,,,,,,,
36.97,25.08,37.95,,,,,,,
38.5,11.83,49.67,,,,,,,
38.9,5.3,55.8,,,,,,,
31.57,10.54,57.89,,,,,,,
12.5,12.5,75.0,,,,,,,
